,type,timestamp,datestamp,txAntennaPort,txExpanderPort,rssi1,rssi2
57,RoundStart,2021-12-01 11:31:56.106,21/12/01 11:31:56.106,PORT_1,NONE,0.0,0.0
58,RoundStart,2021-12-01 11:31:56.147,21/12/01 11:31:56.147,PORT_1,NONE,0.0,0.0
59,RoundStart,2021-12-01 11:31:56.166,21/12/01 11:31:56.166,PORT_1,NONE,0.0,0.0
60,RoundStart,2021-12-01 11:31:56.186,21/12/01 11:31:56.186,PORT_1,NONE,0.0,0.0
61,RoundStart,2021-12-01 11:31:56.206,21/12/01 11:31:56.206,PORT_1,NONE,0.0,0.0
62,RoundStart,2021-12-01 11:31:56.246,21/12/01 11:31:56.246,PORT_1,NONE,0.0,0.0
63,RoundStart,2021-12-01 11:31:56.267,21/12/01 11:31:56.267,PORT_1,NONE,0.0,0.0
64,RoundStart,2021-12-01 11:31:56.286,21/12/01 11:31:56.286,PORT_1,NONE,0.0,0.0
65,RoundStart,2021-12-01 11:31:56.326,21/12/01 11:31:56.326,PORT_1,NONE,0.0,0.0
66,RoundStart,2021-12-01 11:31:56.346,21/12/01 11:31:56.346,PORT_1,NONE,0.0,0.0
67,RoundStart,2021-12-01 11:31:56.367,21/12/01 11:31:56.367,PORT_1,NONE,0.0,0.0
68,RoundStart,2021-12-01 11:31:56.386,21/12/01 11:31:56.386,PORT_1,NONE,0.0,0.0
69,RoundStart,2021-12-01 11:31:56.426,21/12/01 11:31:56.426,PORT_1,NONE,0.0,0.0
70,RoundStart,2021-12-01 11:31:56.446,21/12/01 11:31:56.446,PORT_1,NONE,0.0,0.0
71,RoundStart,2021-12-01 11:31:56.466,21/12/01 11:31:56.466,PORT_1,NONE,0.0,0.0
72,RoundStart,2021-12-01 11:31:56.507,21/12/01 11:31:56.507,PORT_1,NONE,0.0,0.0
73,RoundStart,2021-12-01 11:31:56.526,21/12/01 11:31:56.526,PORT_1,NONE,0.0,0.0
74,RoundStart,2021-12-01 11:31:56.546,21/12/01 11:31:56.546,PORT_1,NONE,0.0,0.0
75,RoundStart,2021-12-01 11:31:56.566,21/12/01 11:31:56.566,PORT_1,NONE,0.0,0.0
76,RoundStart,2021-12-01 11:31:56.607,21/12/01 11:31:56.607,PORT_1,NONE,0.0,0.0
77,RoundStart,2021-12-01 11:31:56.626,21/12/01 11:31:56.626,PORT_1,NONE,0.0,0.0
78,RoundStart,2021-12-01 11:31:56.646,21/12/01 11:31:56.646,PORT_1,NONE,0.0,0.0
79,RoundStart,2021-12-01 11:31:56.686,21/12/01 11:31:56.686,PORT_1,NONE,0.0,0.0
80,RoundStart,2021-12-01 11:31:56.707,21/12/01 11:31:56.707,PORT_1,NONE,0.0,0.0
81,RoundStart,2021-12-01 11:31:56.726,21/12/01 11:31:56.726,PORT_1,NONE,0.0,0.0
82,RoundStart,2021-12-01 11:31:56.746,21/12/01 11:31:56.746,PORT_1,NONE,0.0,0.0
83,RoundStart,2021-12-01 11:31:56.786,21/12/01 11:31:56.786,PORT_1,NONE,0.0,0.0
84,RoundStart,2021-12-01 11:31:56.806,21/12/01 11:31:56.806,PORT_1,NONE,0.0,0.0
85,RoundStart,2021-12-01 11:31:56.827,21/12/01 11:31:56.827,PORT_1,NONE,0.0,0.0
86,RoundStart,2021-12-01 11:31:56.866,21/12/01 11:31:56.866,PORT_1,NONE,0.0,0.0
87,RoundStart,2021-12-01 11:31:56.886,21/12/01 11:31:56.886,PORT_1,NONE,0.0,0.0
88,RoundStart,2021-12-01 11:31:56.906,21/12/01 11:31:56.906,PORT_1,NONE,0.0,0.0
89,RoundStart,2021-12-01 11:31:56.926,21/12/01 11:31:56.926,PORT_1,NONE,0.0,0.0
90,RoundStart,2021-12-01 11:31:56.966,21/12/01 11:31:56.966,PORT_1,NONE,0.0,0.0
91,RoundStart,2021-12-01 11:31:56.986,21/12/01 11:31:56.986,PORT_1,NONE,0.0,0.0
92,RoundStart,2021-12-01 11:31:57.007,21/12/01 11:31:57.007,PORT_1,NONE,0.0,0.0
93,RoundStart,2021-12-01 11:31:57.046,21/12/01 11:31:57.046,PORT_1,NONE,0.0,0.0
94,RoundStart,2021-12-01 11:31:57.067,21/12/01 11:31:57.067,PORT_1,NONE,0.0,0.0
95,RoundStart,2021-12-01 11:31:57.086,21/12/01 11:31:57.086,PORT_1,NONE,0.0,0.0
96,RoundStart,2021-12-01 11:31:57.106,21/12/01 11:31:57.106,PORT_1,NONE,0.0,0.0
97,RoundStart,2021-12-01 11:31:57.146,21/12/01 11:31:57.146,PORT_1,NONE,0.0,0.0
98,RoundStart,2021-12-01 11:31:57.167,21/12/01 11:31:57.167,PORT_1,NONE,0.0,0.0
